city,lat,lng,country,iso2,admin,capital,population,population_proper
AIRE VALLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BEECH FOREST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FERGUSON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GELLIBRAND LOWER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WATTLE HILL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEEAPROINAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WYELANGTA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YUULONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLENAIRE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HORDERN VALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
JOHANNA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LAVERS HILL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CARLISLE RIVER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CHAPPLE VALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GELLIBRAND,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KENNEDYS CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BUCKLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GHERANG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MODEWARRE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MORIAC,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT MORIAC,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PARAPARAP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BAMBRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
OMBERSLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WENSLEYDALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WINCHELSEA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WINCHELSEA SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WURDIBOLUC,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BIRREGURRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARWON DOWNS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GERANGAMETE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MURROON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARNCOORT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WHOOREL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ALVIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BALINTORE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARONGAROOK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARONGAROOK WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARRAMUNGA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CORAGULAC,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CORUNNUN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DREEITE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DREEITE SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GERANGAMETE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
IRREWARRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
IRREWILLIPE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
IRREWILLIPE EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KAWARREN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LARPENT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NALANGIL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ONDIT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PIRRON YALLOCK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
POMBORNEIT EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SWAN MARSH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TANYBRYN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARRION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOOL WOOL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YEO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YEODENE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COLAC,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COLAC EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COLAC WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ELLIMINYT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BEEAC,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CUNDARE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CUNDARE NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EURACK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEERING,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COROROOKE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOOKAAR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOSTOCKS CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BUNGADOR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CAMPERDOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CARPENDEIT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CHOCOLYN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GNOTUK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KARIAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KOALLAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LESLIE MANOR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
POMBORNEIT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
POMBORNEIT NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SKIBO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SOUTH PURRUMBETE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STONYFORD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TANDAROOK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TESBURY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEERITE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TERANG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOORCAN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CUDGEE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DIXIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ECKLIN SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ELLERSLIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FRAMLINGHAM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FRAMLINGHAM EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GARVOC,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLENORMISTON NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLENORMISTON SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KOLORA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LAANG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NOORAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NOORAT EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PANMURE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TAROON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
THE SISTERS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BULLAHARRE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COBDEN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COBRICO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ELINGAMITE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ELINGAMITE NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLENFYNE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
JANCOURT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
JANCOURT EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NAROGHID,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SIMPSON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SCOTTS CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
AYRFORD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BRUCKNELL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COORIEMUNGLE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COWLEYS CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CURDIE VALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CURDIES RIVER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CURDIEVALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HEYTESBURY LOWER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NEWFIELD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NIRRANDA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NIRRANDA EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NIRRANDA SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NULLAWARRE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NULLAWARRE EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NULLAWARRE NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PAARATTE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
THE COVE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TIMBOON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TIMBOON WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PORT CAMPBELL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PRINCETOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WAARRE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PETERBOROUGH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DARLINGTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DUNDONNELL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PURA PURA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MORTLAKE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOORNDOO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HEXHAM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CARAMUT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MAILER FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MAILORS FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MINJAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOOLSTHORPE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ALLANSFORD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MEPUNGA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MEPUNGA EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MEPUNGA WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NARINGAL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NARINGAL EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PURNIM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PURNIM WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BALLANGEICH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WANGOOM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DENNINGTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MINJAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARRNAMBOOL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARRNAMBOOL EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARRNAMBOOL WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BUSHFIELD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GRASSMERE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WINSLOW,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOODFORD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ILLOWA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KOROIT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CROSSLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KILLARNEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KIRKSTALL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SOUTHERN CROSS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TARRONE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TOWER HILL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARRONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WILLATOOK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YANGERY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YARPTURK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ORFORD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PORT FAIRY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CODRINGTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NARRAWONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ROSEBROOK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ST HELENS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TOOLONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TYRENDARRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TYRENDARRA EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YAMBUK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CONDAH SWAMP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KNEBSWORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MACARTHUR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
RIPPONHURST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARRABKOOK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HAWKESDALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MINHAMITE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GAZETTE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GERRIGERRUP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PENSHURST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PURDEET,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TABOR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NELSON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLENTHOMPSON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NAREEB,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NARRAPUMELAP SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DUNKELD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KARABEAL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MIRRANATWA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUTAJUP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
VICTORIA POINT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
VICTORIA VALLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOODHOUSE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BYADUK NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HAMILTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOCHARA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BROADWATER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BUCKLEY SWAMP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BYADUK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CROXTON EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HENSLEY PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MORGIANA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT NAPIER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STRATHKELLAR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TAHARA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TARRINGTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WANNON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARRAYURE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YATCHAW,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YULECART,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BRANXHOLME,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GRASSDALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BREAKAWAY CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CONDAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CONDAH SWAMP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HOTSPUR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LAKE CONDAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WALLACEDALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BESSIEBELLE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DARTMOOR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DRIK DRIK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DRUMBORG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GREENWALD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HEYWOOD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HOMERTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LYONS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MILLTOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MUMBANNAR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MYAMYN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WINNAP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ALLESTREE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOLWARRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CAPE BRIDGEWATER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CASHMORE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DUTTON WAY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GORAE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GORAE WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HEATHMERE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT RICHMOND,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PORTLAND,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PORTLAND NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PORTLAND WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DIGBY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MERINO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TAHARA WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CASTERTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CORNDALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HEATH FIELD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PURALKA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BAHGALLAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BRIMBOAL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CARAPOOK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CHETWYND,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DERGHOLM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DORODONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DUNROBIN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HENTY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KILLARA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LAKE MUNDI,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LINDSAY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MUNTHAM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NANGEELA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
POOLAIJELO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
POWERS CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SANDFORD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STRATHDOWNIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WANDO BRIDGE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WANDO VALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARROCK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BULART,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CAVENDISH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLENISLA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GRAMPIANS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOORALLA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOOHLPOOER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BRIT BRIT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CLOVER FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COLERAINE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COOJAR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CULLA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GRINGEGALGONA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GRITJURK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HILGAY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KONONGWOOTONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MELVILLE FOREST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MUNTHAM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NAREEN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PARKWOOD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PASCHENDALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TAHARA BRIDGE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TARRAYOUKYAN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TARRENLEA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOOTONG VALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HARROW,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CHARAM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CONNEWIRRICOO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EDENHOPE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
JALLAKIN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KADNOOK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LANGKOOP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MEEREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PATYAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ULLSWATER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
APSLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BENAYEO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BRINGALBERT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HESSE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
INVERLEIGH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WINGEEL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CRESSY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BERRYBANK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DUVERNEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FOXHOW,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LISMORE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MINGAY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT BUTE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DERRINALLUM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LARRALEA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
VITE VITE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
VITE VITE NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TEESDALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARUNAH PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARUNAH PLAINS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SHELFORD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ROKEWOOD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BANNOCKBURN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GHERINGHAP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MAUDE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
RUSSELLS BRIDGE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SHE OAKS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STEIGLITZ,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SUTHERLANDS CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LETHBRIDGE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BAMGANIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MEREDITH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BUNGAL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CARGERIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ELAINE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MORRISONS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT DORAN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BONNIE BROOK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GRANGEFIELDS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PLUMPTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ROCKBANK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
THORNHILL PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
AINTREE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DEANSIDE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FRASER RISE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HARKNESS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KURUNJANG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MELTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MELTON WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TOOLERN VALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BROOKFIELD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COBBLEBANK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EXFORD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EYNESBURY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MELTON SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STRATHTULLOH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEIR VIEWS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BACCHUS MARSH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BALLIANG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
